,grammar,content,count
0,词类名词方位名词,"上、下、里、外、前、后、左、右、东、南、西、北；
上边、下边、里边、外边、 前边、后边、左边、右边、东边、南边、西边、北边",718
1,词类动词能愿动词,会、能,1723
2,词类动词能愿动词,想、要,0
3,词类代词疑问代词,多、多少、几、哪、哪儿、哪里、哪些、什么、谁、怎么,579
4,词类代词人称代词,我、你、您、他、她、我们、你们、他们、她们,3656
5,词类代词指示代词,这、那、这儿、那儿、这里、那里、这些、那些、别的、有的,983
6,词类数词,一、二/两、三、四、五、六、七、八、九、零；十、百；半,97
7,词类量词名量词,杯、本、个、家、间、口、块、页,183
8,词类副词程度副词,非常、很、太、真、最,1536
9,词类副词范围、协同副词,都、一块儿、一起,1230
10,词类副词时间副词,马上、先、有时、在、正、正在,1683
11,词类副词频率、重复副词,常、常常、再,532
12,词类副词关联副词,还、也,1447
13,词类副词否定副词,别、不、没、没有,739
14,词类介词引出时间、处所,从,1169
15,词类介词引出时间、处所,在,0
16,词类介词引出对象,跟、和,1502
17,词类介词引出对象,比,0
18,词类连词连接词或短语,跟、还是、和,609
19,词类助词结构助词,的、地,6006
20,词类助词动态助词,了,1764
21,词类助词语气助词,吧、了、吗、呢,7442
22,短语结构类型数量短语,\,0
23,句子成分主语,名词、代词或名词性短语作主语,0
24,句子成分谓语,动词或动词性短语、形容词或形容词性短语作谓语,0
25,句子成分宾语,名词、代词或名词性短语作宾语,0
26,句子成分定语,名词性词语、形容词性词语、数量短语作定语,0
27,句子成分状语,副词、形容词作状语；表示时间、处所的词语作状语,0
28,句子的类型句型单句,动词谓语句,0
29,句子的类型句型单句,形容词谓语句,0
30,句子的类型句型单句,非主谓句,0
31,句子的类型句类陈述句,\,0
32,句子的类型句类疑问句,\,0
33,句子的类型句类祈使句,\,0
34,句子的类型句类感叹句,\,0
35,句子的类型特殊句型“是”字句,\,0
36,句子的类型特殊句型“有”字句,\,0
37,句子的类型特殊句型比较句,\,0
38,句子的类型特殊句型复句,并列复句,0
39,动作的态变化态,用动态助词“了”表示,0
40,动作的态完成态,用动态助词“了”表示,0
41,动作的态进行态,"……在/正在+动词
……在/正/正在+动词……+呢
……呢",0
42,特殊表达法数的表示法钱数表示法,\,0
43,时间表示法时间表示法,"年、月、日、星期表示法
钟点表示法",0
44,提问的方法,用“吗”提问,0
45,提问的方法,用“多、多少、几、哪、哪儿、哪里、哪些、什么、谁、怎么”提问,0
46,提问的方法,"用“还是""提问",0
47,提问的方法,用正反疑问形式提问,0
48,词类动词能愿动词,可能、可以,0
49,词类动词能愿动词,该、应该,0
50,词类动词能愿动词,愿意,0
51,词类动词动词重叠,AA、A —A、A 了 A、ABAB,0
52,词类代词疑问代词,多久、为什么、怎么样、怎样,0
